,id,raw_model_label,shap_model_label,label_prob,xai_top_text,xai_total_value,xai_top_value
0,9001,0,0,0.9987122,"코드,정보,상품,무료,카지노","0.19002200663089752,0.28483501076698303,0.5289260149002075,0.5487390160560608,1.2467639446258545,-0.05815400183200836,-0.6101229786872864,-0.0026710000820457935,-0.374877005815506,-0.009242000058293343,-0.08254499733448029,-0.06745199859142303,-0.03294000029563904,-0.0027759999502450228,-0.06784000247716904","0.1899999976158142,0.2849999964237213,0.5289999842643738,0.5490000247955322,1.246999979019165"
1,9002,0,0,0.99657804,"가입,회원,관리,코드,카지노","0.17730900645256042,0.25517600774765015,0.4523429870605469,0.4938110113143921,1.1515940427780151,-0.06443200260400772,-0.6507430076599121,-0.014127999544143677,-0.0218959990888834,-0.007528999820351601,0.011943000368773937,0.06105500087141991,-0.12707099318504333,-0.0816349983215332,-0.06900999695062637","0.1770000010728836,0.2549999952316284,0.4519999921321869,0.49399998784065247,1.1519999504089355"
2,9003,0,0,0.9984042,"구매,정보,코드,무료,카지노","0.14200599491596222,0.2791909873485565,0.4653489887714386,0.5578920245170593,1.2036720514297485,-0.004982000216841698,-0.8950750231742859,-0.07539699971675873,-0.5909789800643921,-0.009242000058293343,-0.012757999822497368,-0.07327599823474884,-0.06947500258684158,0.006233000196516514,-0.06881599873304367","0.1420000046491623,0.27900001406669617,0.4650000035762787,0.5580000281333923,1.2039999961853027"
3,9004,0,0,0.9978041,"아이디,회원,코드,무료,카지노","0.14779800176620483,0.1676809936761856,0.27980300784111023,0.5623959898948669,1.1690150499343872,-0.5639209747314453,-1.6814899444580078,-0.01539199985563755,-0.5624189972877502,-0.004563999827951193,0.00443900004029274,0.06116199865937233,-0.08465500175952911,-0.0019049999536946416,-0.06852799654006958","0.14800000190734863,0.1679999977350235,0.2800000011920929,0.5619999766349792,1.1690000295639038"
4,9005,0,0,0.99922657,"서비스,정보,상품,무료,카지노","0.27803999185562134,0.28871798515319824,0.4110429883003235,0.5242120027542114,1.2488950490951538,-0.0013310000067576766,-0.6104069948196411,-0.003504999913275242,-0.37457698583602905,-0.00929499976336956,-0.020515000447630882,-0.062164999544620514,-0.03294000029563904,-0.004110000096261501,-0.040509000420570374","0.27799999713897705,0.289000004529953,0.41100001335144043,0.5239999890327454,1.2489999532699585"
5,9006,0,0,0.99805486,"가입,대한민국,무료,코드,카지노","0.15628600120544434,0.1813260018825531,0.47413700819015503,0.4748600125312805,1.1378849744796753,-0.028555000200867653,-0.0966549962759018,-0.6222929954528809,-0.025054000318050385,-0.005700999870896339,0.003840999910607934,-0.014588000252842903,-0.0019049999536946416,-0.07547599822282791,-0.06874299794435501","0.15600000321865082,0.1809999942779541,0.4740000069141388,0.4749999940395355,1.1380000114440918"
6,9007,2,2,0.999956,"놀이터,사이트,메이저,토토,먹튀","-0.004050000105053186,-0.023653000593185425,-0.029109999537467957,-0.46441298723220825,-0.04611799865961075,-0.006074999924749136,-1.3762359619140625,-0.04607800021767616,-0.030765999108552933,0.010797999799251556,0.3018159866333008,0.6318820118904114,0.6932290196418762,0.7627530097961426,0.8235939741134644","0.3019999861717224,0.6320000290870667,0.6930000185966492,0.7630000114440918,0.8240000009536743"
7,9008,2,2,0.99989295,"보증,토토,사이트,메이저,먹튀","-0.011249000206589699,0.00624299980700016,-0.061969999223947525,-0.011057999916374683,-0.09918700158596039,-0.00023099999816622585,-0.028328999876976013,-1.074887990951538,-0.023723000660538673,-0.0908150002360344,0.3952139914035797,0.39663100242614746,0.5828580260276794,0.6071910262107849,0.8718519806861877","0.39500001072883606,0.3970000147819519,0.5830000042915344,0.6069999933242798,0.871999979019165"
8,9009,1,1,0.99996734,"아이디,정보,사이트,계좌,로그인","-0.4225749969482422,-0.26734599471092224,0.012516000308096409,-3.7000001611886546e-05,-0.04095799848437309,0.4536519944667816,0.5218769907951355,0.5622720122337341,0.8844670057296753,1.5287749767303467,-0.016006000339984894,0.01593099907040596,-0.7011880278587341,-0.0029800001066178083,-0.09524799883365631","0.45399999618530273,0.5220000147819519,0.5619999766349792,0.8840000033378601,1.5290000438690186"
9,9010,2,2,0.9999691,"주소,사이트,토토,메이저,먹튀","-0.09797900170087814,-0.02023099921643734,-0.4283120036125183,-0.017597999423742294,-0.04314500093460083,-0.4061430096626282,-1.1038880348205566,-0.03191300109028816,-0.047683000564575195,0.01139300037175417,0.4656359851360321,0.5874810218811035,0.6102269887924194,0.6817039847373962,0.8907319903373718","0.4659999907016754,0.5870000123977661,0.6100000143051147,0.6819999814033508,0.890999972820282"
