,id,raw_model_label,shap_model_label,label_prob,xai_top_text,xai_total_value,xai_top_value
0,18166,1,1,0.9999596,"검색,회원,사이트,정보,로그인","-0.0699400007724762,-0.5914869904518127,0.013741999864578247,-0.3017669916152954,-0.10978599637746811,0.34419500827789307,0.4736019968986511,0.7154899835586548,0.767179012298584,2.2204880714416504,0.001693999976851046,-0.06223699823021889,-0.76528000831604,0.016767999157309532,-0.09524799883365631","0.3440000116825104,0.4740000069141388,0.7149999737739563,0.7670000195503235,2.2200000286102295"
1,18167,2,2,0.9991511,"렌트,도메인,업체,사이트,먹튀","-0.10109099745750427,-0.2741439938545227,-0.05850299820303917,-0.004912000149488449,-0.24189600348472595,-0.05711200088262558,0.00043200000072829425,0.0023040000814944506,-0.9484490156173706,-0.17636199295520782,0.248757004737854,0.37394100427627563,0.3748520016670227,0.5408890247344971,1.929263949394226","0.24899999797344208,0.37400001287460327,0.375,0.5410000085830688,1.9290000200271606"
2,18210,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
3,18215,0,0,0.9961737,"최고,회원,안내,코드,카지노","0.14998799562454224,0.2558650076389313,0.32764801383018494,0.4931440055370331,1.1667089462280273,-0.1737550050020218,-0.7335749864578247,-0.4320780038833618,-0.06851399689912796,-0.007530999835580587,0.0,0.05772799998521805,-0.09614899754524231,-0.07922500371932983,-0.07309000194072723","0.15000000596046448,0.25600001215934753,0.328000009059906,0.49300000071525574,1.1670000553131104"
4,18507,2,2,0.9999001,"코드,사이트,토토,메이저,먹튀","-1.2407569885253906,-0.05383399873971939,-0.012125000357627869,-0.029255999252200127,-0.19427600502967834,-0.015261000022292137,-0.9460710287094116,-0.010552999563515186,-0.022614000365138054,0.004588000010699034,0.4023129940032959,0.6225849986076355,0.6317489743232727,0.7151380181312561,0.8870880007743835","0.4020000100135803,0.6230000257492065,0.6320000290870667,0.7149999737739563,0.8870000243186951"
5,18540,0,0,0.96610785,"가입,회원,무료,코드,카지노","0.1555909961462021,0.1794240027666092,0.3279480040073395,0.45708799362182617,1.1361490488052368,-0.06009700149297714,-0.6478070020675659,-0.7711780071258545,-0.06922099739313126,-0.007530000060796738,0.010220999829471111,0.03466600179672241,0.004815999884158373,-0.05724399909377098,-0.06840299814939499","0.15600000321865082,0.17900000512599945,0.328000009059906,0.4569999873638153,1.1360000371932983"
6,18572,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
7,18575,1,1,0.999863,"회원,사이트,배팅내역,계좌,로그인","-0.28691500425338745,0.008581999689340591,0.0,-1.700000029813964e-05,-0.1124190017580986,0.4065540134906769,0.41737601161003113,0.44600600004196167,0.7946659922599792,1.1717339754104614,-0.045506998896598816,-0.3980939984321594,2.300000051036477e-05,-0.014782999642193317,-0.07984600216150284","0.40700000524520874,0.4169999957084656,0.44600000977516174,0.7950000166893005,1.1720000505447388"
8,18577,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
9,18582,1,1,0.9993063,"아이디,채팅,회원,로그인,계좌","-0.5023999810218811,-0.018751999363303185,-0.5348460078239441,-0.003942000214010477,-1.700000029813964e-05,0.45454201102256775,0.4582889974117279,0.7240319848060608,0.918586015701294,1.4581769704818726,-0.005760000087320805,0.0,-0.04464700073003769,-0.021369000896811485,-0.007697000168263912","0.45500001311302185,0.4580000042915344,0.7239999771118164,0.9190000295639038,1.4579999446868896"
10,18593,1,1,0.9999602,"사이트,개인정보,회원,로그인,계좌","0.011463000439107418,0.0014560000272467732,-0.34383800625801086,-0.028341999277472496,-1.700000029813964e-05,0.5812450051307678,0.6141740083694458,0.6803230047225952,0.9245409965515137,1.4016510248184204,-0.4093349874019623,-0.054721999913454056,-0.03353700041770935,-0.0242139995098114,-0.01295199990272522","0.5809999704360962,0.6140000224113464,0.6800000071525574,0.925000011920929,1.4019999504089355"
11,18596,0,0,0.9998349,"코드,무료,상품,소개,카지노","0.3199799954891205,0.36921200156211853,0.36990299820899963,0.5876669883728027,1.0120810270309448,-0.04283500090241432,-0.5932139754295349,-0.003444999922066927,-0.23127000033855438,-0.0068789999932050705,-0.0826679989695549,-0.0014140000566840172,-0.027444999665021896,-0.011793999932706356,-0.03731599822640419","0.3199999928474426,0.36899998784065247,0.3700000047683716,0.5879999995231628,1.0119999647140503"
12,18597,1,1,0.9987067,"사이트,회원,배팅내역,계좌,로그인","0.013016000390052795,-0.3177430033683777,0.0,-0.0008210000232793391,-0.31121599674224854,0.5295779705047607,0.5797340273857117,0.6368190050125122,0.8523589968681335,1.634202003479004,-0.4046030044555664,-0.10536400228738785,2.300000051036477e-05,-0.017906000837683678,-0.04628400132060051","0.5299999713897705,0.5799999833106995,0.6370000243186951,0.8519999980926514,1.6339999437332153"
13,18598,0,0,0.7520816,"상품,시간,안내,카지노,지원","0.3828209936618805,0.3883320093154907,0.43519100546836853,0.965408980846405,0.9988499879837036,-0.13814300298690796,-0.022787999361753464,-0.6474339962005615,-0.004315000027418137,-0.001749000046402216,-0.026304999366402626,-0.0006469999789260328,-0.417959988117218,-0.026353999972343445,0.0","0.382999986410141,0.3880000114440918,0.4350000023841858,0.9649999737739563,0.9990000128746033"
14,18599,0,0,0.9783633,"코드,트위터,정보,보기,카지노","0.26851001381874084,0.28901100158691406,0.5117970108985901,0.725238025188446,1.0383909940719604,-0.015052000060677528,-0.003971999976783991,-1.4882980585098267,-0.0867139995098114,-0.01473500020802021,-0.10616599768400192,-0.15044400095939636,-0.04017699882388115,-0.08242300152778625,-0.025443999096751213","0.26899999380111694,0.289000004529953,0.5120000243186951,0.7250000238418579,1.0379999876022339"
15,18600,1,1,0.99858725,"검색어,회원,규정,배팅내역,로그인","-5.700000110664405e-05,-0.27694499492645264,-0.00215300009585917,0.0,-0.14284799993038177,0.3175579905509949,0.4577600061893463,0.4805060029029846,1.0747359991073608,1.4570690393447876,-0.0054270001128315926,-0.02099600061774254,-0.23739099502563477,6.0999998822808266e-05,-0.03634599968791008","0.3179999887943268,0.4580000042915344,0.48100000619888306,1.0750000476837158,1.4570000171661377"
16,18601,1,1,0.9992176,"확인,아이디,로그인,회원,계좌","-0.2252970039844513,-0.11973199993371964,0.002920999890193343,-0.29217401146888733,-2.300000051036477e-05,0.3254320025444031,0.358599990606308,0.5669530034065247,0.6157259941101074,1.4349969625473022,-0.006759000010788441,-0.03900599852204323,-0.027458999305963516,-0.05041699856519699,-0.008495000191032887","0.32499998807907104,0.35899999737739563,0.5669999718666077,0.6159999966621399,1.434999942779541"
17,18602,1,1,0.9995652,"아이디,정보,회원,규정,로그인","-0.17343300580978394,-0.11911699920892715,-0.4016070067882538,-0.011008000001311302,0.02513200044631958,0.4815930128097534,0.5520870089530945,0.7756980061531067,0.9451199769973755,1.51882803440094,-0.008011999540030956,0.007699999958276749,-0.07345700263977051,-0.15770100057125092,-0.029930999502539635","0.4819999933242798,0.5519999861717224,0.7760000228881836,0.9449999928474426,1.5190000534057617"
18,18604,0,0,0.99972147,"상품,검색,소개,방침,카지노","0.32235199213027954,0.35113999247550964,0.5310800075531006,0.6916210055351257,1.177150011062622,-0.003656999906525016,-0.626147985458374,-0.20963700115680695,-0.6746090054512024,-0.02080100029706955,-0.142877995967865,-0.02555200085043907,-0.0028230000752955675,-0.003942000214010477,-0.03050900064408779","0.32199999690055847,0.35100001096725464,0.531000018119812,0.6919999718666077,1.1770000457763672"
19,18605,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
20,18606,2,2,0.99993837,"보증,사이트,메이저,토토,먹튀","-0.018657999113202095,-0.04646100103855133,-0.04218300059437752,-0.44107601046562195,-0.21390299499034882,-0.00023400000645779073,-0.7259820103645325,-0.02275400049984455,-0.044895999133586884,-0.22899599373340607,0.45676499605178833,0.5827040076255798,0.6379960179328918,0.6638399958610535,1.1888600587844849","0.4569999873638153,0.5830000042915344,0.6380000114440918,0.6639999747276306,1.1890000104904175"
21,18608,1,1,0.9992999,"확인,아이디,로그인,회원,계좌","-0.22555500268936157,-0.11973199993371964,0.023674000054597855,-0.2902669906616211,-2.300000051036477e-05,0.3254320025444031,0.36078599095344543,0.5439509749412537,0.615742027759552,1.5758670568466187,-0.006759000010788441,-0.03900599852204323,-0.027458999305963516,-0.05110400170087814,-0.008495000191032887","0.32499998807907104,0.3610000014305115,0.5440000295639038,0.6159999966621399,1.5759999752044678"
22,18609,1,1,0.99850297,"금액,로그인,회원,베팅,계좌","-0.06960099935531616,0.01434599980711937,-0.24801400303840637,-0.5467990040779114,-1.1000000085914508e-05,0.34554800391197205,0.48420199751853943,0.5844699740409851,0.7270709872245789,1.2312979698181152,-0.009588999673724174,-0.047745998948812485,-0.13790999352931976,0.012380000203847885,-0.010053999722003937","0.34599998593330383,0.48399999737739563,0.5839999914169312,0.7269999980926514,1.2309999465942383"
23,18611,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
24,18613,2,2,0.99290174,"이용,사항,회원,주소,도메인","0.007931999862194061,-0.04239499941468239,0.11350800096988678,-0.3582409918308258,-0.9831129908561707,-0.0008040000102482736,-0.0006670000148005784,-0.7047470211982727,-0.9961529970169067,0.0018520000157877803,0.2564510107040405,0.3569819927215576,0.48614200949668884,0.9472529888153076,1.1204359531402588","0.25600001215934753,0.3569999933242798,0.4860000014305115,0.9470000267028809,1.1200000047683716"
25,18614,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
26,18615,1,1,0.99980503,"전화번호,사이트,회원,로그인,계좌","-0.13853999972343445,0.011495999991893768,-0.44576600193977356,-0.18461500108242035,-2.300000051036477e-05,0.4687969982624054,0.47219300270080566,0.7741219997406006,0.8791130185127258,0.9729840159416199,0.0,-0.5877860188484192,-0.02431900054216385,-0.027721000835299492,-0.0033650000113993883","0.4690000116825104,0.47200000286102295,0.7739999890327454,0.8790000081062317,0.9729999899864197"
27,18616,1,1,0.99984527,"검색,회원,사이트,정보,로그인","-0.06978199630975723,-0.5669410228729248,0.01336000021547079,-0.2817220091819763,-0.43613100051879883,0.33532199263572693,0.5536370277404785,0.6209419965744019,0.908856987953186,1.895508050918579,0.001693999976851046,-0.05762200057506561,-0.6678100228309631,0.01605900004506111,-0.09352599829435349","0.33500000834465027,0.5540000200271606,0.6209999918937683,0.9089999794960022,1.8960000276565552"
28,18617,1,1,0.9994097,"아이디,회원,전화번호,로그인,계좌","-0.3156850039958954,-0.24811199307441711,-0.15354500710964203,0.011127999983727932,-0.0008210000232793391,0.4687980115413666,0.7011439800262451,0.7063199877738953,0.9100069999694824,0.9366959929466248,-0.012346000410616398,-0.087288998067379,0.0,-0.0756400004029274,-0.016419000923633575","0.4690000116825104,0.7009999752044678,0.7059999704360962,0.9100000262260437,0.9369999766349792"
