,id,raw_model_label,shap_model_label,label_prob,xai_top_text,xai_total_value,xai_top_value
0,12001,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
1,12002,0,0,0.9998499,"보기,소개,지원,방침,카지노","0.2775160074234009,0.3025520145893097,0.47206801176071167,0.6133970022201538,1.1519850492477417,-0.11450500041246414,-0.2290640026330948,-0.0011980000417679548,-0.3681449890136719,-0.012701000086963177,-0.08272799849510193,-0.008572000078856945,0.0,-0.015988999977707863,-0.02830599993467331","0.27799999713897705,0.30300000309944153,0.47200000286102295,0.6129999756813049,1.1519999504089355"
2,12003,0,0,0.9973455,"서비스,보기,방침,검색,카지노","0.2547459900379181,0.46291598677635193,0.4668790102005005,0.4901379942893982,1.02360200881958,-0.0007110000005923212,-0.04021500051021576,-0.5611590147018433,-0.6982200145721436,-0.05564099922776222,-0.008182999677956104,-0.17256900668144226,-0.0059710000641644,-0.4011920094490051,-0.011432000435888767","0.2549999952316284,0.46299999952316284,0.46700000762939453,0.49000000953674316,1.0240000486373901"
3,12004,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
4,12005,0,0,0.99797875,"할인,방침,상품,지원,카지노","0.4897550046443939,0.564329981803894,0.6109169721603394,0.6759639978408813,1.1920939683914185,-0.17020300030708313,-0.7717999815940857,-0.17955300211906433,-0.0015800000401213765,-0.010898999869823456,-0.006632000207901001,-0.004137000069022179,-0.018526999279856682,0.0,-0.017152000218629837","0.49000000953674316,0.5640000104904175,0.6110000014305115,0.6759999990463257,1.1920000314712524"
5,12006,0,0,0.99976,"보기,방침,검색,지원,카지노","0.30359798669815063,0.32088398933410645,0.33779099583625793,0.5057690143585205,1.2073190212249756,-0.10248900204896927,-0.4188219904899597,-0.6537100076675415,-0.004604000132530928,-0.00457199988886714,-0.10688699781894684,-0.01040900032967329,-0.01916700042784214,0.0,-0.050328001379966736","0.30399999022483826,0.32100000977516174,0.33799999952316284,0.5059999823570251,1.2070000171661377"
6,12007,0,0,0.98523545,"사업,소개,방침,지원,상품","0.2712329924106598,0.27697500586509705,0.29634401202201843,0.6280879974365234,0.7343339920043945,-0.0027570000384002924,-0.2532289922237396,-0.6796560287475586,-0.0025019999593496323,-0.04619799926877022,-0.0012740000383928418,-0.004362999927252531,-0.003011000109836459,0.0,-0.014156999997794628","0.2709999978542328,0.2770000100135803,0.29600000381469727,0.628000020980835,0.734000027179718"
7,12008,0,0,0.99969745,"소개,보기,지원,방침,카지노","0.33638399839401245,0.3837040066719055,0.42488399147987366,0.45694699883461,1.090448021888733,-0.3323589861392975,-0.03008599951863289,-0.0036140000447630882,-0.8063079714775085,-0.019971000030636787,-0.0014220000011846423,-0.10806400328874588,0.0,-0.043568000197410583,-0.04065199941396713","0.335999995470047,0.3840000033378601,0.42500001192092896,0.4569999873638153,1.090000033378601"
8,12009,0,0,0.9998827,"보기,소개,지원,방침,카지노","0.31184500455856323,0.3258349895477295,0.4230499863624573,0.46216198801994324,1.0621910095214844,-0.04430000111460686,-0.31194499135017395,-0.007323000114411116,-1.2968930006027222,-0.0054410002194345,-0.0994189977645874,-0.003639000002294779,0.0,-0.013265999965369701,-0.036410000175237656","0.31200000643730164,0.32600000500679016,0.4230000078678131,0.4620000123977661,1.062000036239624"
9,12010,0,0,0.99953556,"검색,지원,소개,방침,카지노","0.4717020094394684,0.5283629894256592,0.678272008895874,0.6823890209197998,1.2670060396194458,-1.0691440105438232,-0.007646000012755394,-0.47093701362609863,-1.075793981552124,-0.00821600016206503,-0.05311200022697449,0.0,-0.009847000241279602,-0.012481999583542347,-0.017317000776529312","0.47200000286102295,0.527999997138977,0.6779999732971191,0.6819999814033508,1.2669999599456787"
10,12011,0,0,0.9999472,"검색,정보,지원,방침,카지노","0.3273240029811859,0.38478899002075195,0.38969001173973083,0.4586000144481659,1.376518964767456,-0.6325389742851257,-0.8456770181655884,-0.0016969999996945262,-0.8496879935264587,-0.08792400360107422,-0.01028400007635355,-0.034313999116420746,0.0,-0.012481999583542347,-0.013667000457644463","0.3269999921321869,0.38499999046325684,0.38999998569488525,0.45899999141693115,1.3769999742507935"
11,12012,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
12,12013,0,0,0.9897361,"사업,플랫폼,방침,카지노,지원","0.5010089874267578,0.5660399794578552,0.737263023853302,0.9644230008125305,1.0285940170288086,-0.0003490000090096146,0.0,-1.1091480255126953,-0.009554999880492687,-0.0025420000310987234,-0.023321999236941338,0.0,-0.003900999901816249,-0.02527499943971634,0.0","0.5009999871253967,0.5659999847412109,0.7369999885559082,0.9639999866485596,1.0290000438690186"
13,12014,0,0,0.99960357,"소개,지원,보기,방침,카지노","0.3412880003452301,0.42963701486587524,0.45423200726509094,0.512033998966217,1.066601037979126,-0.226065993309021,-0.0035959999077022076,-0.04645400121808052,-0.45626500248908997,-0.009584000334143639,-0.0019539999775588512,0.0,-0.044732000678777695,-0.0035230000503361225,-0.045871999114751816","0.3409999907016754,0.4300000071525574,0.45399999618530273,0.5120000243186951,1.0670000314712524"
14,12015,0,0,0.999884,"보기,검색,소개,방침,카지노","0.35203900933265686,0.42400801181793213,0.4669870138168335,0.49792298674583435,1.0477830171585083,-0.053116001188755035,-0.9691380262374878,-0.25453099608421326,-0.7693319916725159,-0.00660899979993701,-0.07206500321626663,-0.010518999770283699,-0.0023769999388605356,-0.0038920000661164522,-0.022996999323368073","0.35199999809265137,0.42399999499320984,0.46700000762939453,0.49799999594688416,1.0479999780654907"
15,12016,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
16,12017,0,0,0.99958175,"소개,상품,방침,지원,카지노","0.31580498814582825,0.35077500343322754,0.36174601316452026,0.47531598806381226,1.2290879487991333,-0.28618699312210083,-0.002736999886110425,-0.6046000123023987,-0.003025999991223216,-0.01714400015771389,-0.00216299993917346,-0.16087299585342407,-0.043921999633312225,0.0,-0.03928200155496597","0.3160000145435333,0.35100001096725464,0.3619999885559082,0.4749999940395355,1.2289999723434448"
17,12019,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
18,12020,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
19,12021,0,0,0.9998061,"소개,지원,보기,방침,카지노","0.40897899866104126,0.5068709850311279,0.5133460164070129,0.52531498670578,1.3268389701843262,-0.4673379957675934,-0.0032999999821186066,-0.04100099951028824,-0.6792759895324707,-0.004778999835252762,-0.0026110000908374786,0.0,-0.17754900455474854,-0.044353000819683075,-0.07105600088834763","0.4090000092983246,0.5070000290870667,0.5130000114440918,0.5249999761581421,1.3270000219345093"
20,12022,0,0,0.99997044,"검색,지원,정보,방침,카지노","0.3215219974517822,0.39093899726867676,0.3962160050868988,0.4514710009098053,1.2489529848098755,-0.6416559815406799,-0.0012069999938830733,-0.7747840285301208,-0.630158007144928,-0.015946000814437866,-0.008345999754965305,0.0,-0.024978000670671463,-0.004137000069022179,-0.022273000329732895","0.32199999690055847,0.39100000262260437,0.3959999978542328,0.45100000500679016,1.2489999532699585"
21,12024,0,0,0.9997267,"방침,한국,할인,지원,카지노","0.3299489915370941,0.36768800020217896,0.5170029997825623,0.6372460126876831,1.2418270111083984,-0.6018419861793518,-0.1510400027036667,-0.15810799598693848,-0.0017640000442042947,-0.008173000067472458,-0.0032190000638365746,0.004102000035345554,8.499999967170879e-05,0.0,-0.03703400120139122","0.33000001311302185,0.36800000071525574,0.5170000195503235,0.6370000243186951,1.2419999837875366"
22,12025,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
23,12026,0,0,0.9999769,"소개,지원,보기,방침,카지노","0.407710999250412,0.425805002450943,0.4329270124435425,0.5071489810943604,1.2781579494476318,-0.2165759950876236,-0.0022360000293701887,-0.05506400018930435,-0.7361069917678833,-0.08887100219726562,-0.0020379999186843634,0.0,-0.02813199907541275,-0.0039470000192523,-0.04648499935865402","0.40799999237060547,0.4259999990463257,0.43299999833106995,0.5070000290870667,1.277999997138977"
